X,Y,OBJECTID,KODAS,GATVE,NR,RAIDE,NR2,GYV_ID,ADRESAS,MOKSSK,VARDAS,SENIUNIJA,TELEF,IMKODAS,TIPAST,KALBA,KALBA1,KALBA2,KALBA3,TALPA,LAUKIA,PASTABA,OBJ_ID,MOKSSK_1_4,KALBOS_ID,PRITNEIGAL
581270.791,6061965.404125,5548,0,J. Jasinskio g.,16, ,24,24,J. Jasinskio g. 16G,131,"VšĮ ""Šaltinėlio privati mokykla""",Šaltinėlio vidurinė mokykla,+370 618 89503,191715392,PROGIMNAZIJOS,lietuvių,lietuvių, , ,0,0, ,377,73,1,0
581081.343125,6060417.407,5549,334,Statybininkų g.,5, ,17,17,Statybininkų g. 5,337,Vilniaus Simono Konarskio gimnazija,S. Konarskio gimnazija,+370 5 213 0518,190005140,ISPL GIMNAZIJOS,lenkų, ,lenkų, ,428,0,aptarnauja visą miesto teritoriją,378,50,3,1
580755.917,6060381.31175,5551,0,Žemaitės g.,3, ,22,2,Žemaitės g. 3,47,"Vilniaus Lazdynų mokykla, skyrius",Lazdynų mokykla (skyrius),+370 5 244 5158,190005489,PRADINĖS MOKYKLOS,rusų, , ,rusų,0,0,skyrius,380,21,2,3
581340.4315,6061961.989625,5552,0, ,0, ,24,24,J. Jasinskio g. 16G,0,"VšĮ Vaikų kūrybinės iniciatyvos fondo mokykla ""Forumas""", ,+370 5 2526684,303370189,VIDURINĖS MOKYKLOS,lietuvių,lietuvių, , ,0,0,,381,73,1,0
583361.31075,6060488.941875,5584,0,M. Daukšos g.,7,,22,2,M. Daukšos g. 7,264,Vilniaus Vytės Nemunėlio pradinė mokykla,V. Nemunėlio pradinė mokykla,+370 5 262 2947,195472468,PRADINĖS MOKYKLOS,lietuvių,lietuvių, , ,196,196, ,413,11,1,3
582693.328625,6061262.716375,5585,0,Vilniaus g.,32, ,13,13,Vilniaus g. 32,392,Vilniaus „Vyčio“ gimnazija,„Vyčio“ gimnazija,+370 5 262 6636,190004387,GIMNAZIJOS,lietuvių,lietuvių, , ,0,0, ,414,16,1,3
583137.50775,6060955.548625,5587,0,Didžioji g.,32, ,23,23,Augustijonų g. 5,700,Vilniaus jėzuitų gimnazija,Jėzuitų gimnazija,+370 5 261 5436,291812440,GIMNAZIJOS,lietuvių,lietuvių, , ,0,0, ,416,73,1,0
584121.00025,6061536.699875,5588,0,Filaretų g.,3, ,2,2,Filaretų g. 3,771,Vilniaus Petro Vileišio progimnazija,P. Vileišio progimnazija,+370 5 215 3657,195008119,PROGIMNAZIJOS,lietuvių,lietuvių, , ,594,264, ,417,13,1,3
583944.172375,6061522.45875,5589,0,Krivių g.,10, ,13,13,Krivių g. 10,610,Vilniaus Užupio gimnazija,Užupio gimnazija,+370 5 261 4023,190001124,GIMNAZIJOS,lietuvių,lietuvių, , ,0,0, ,418,16,1,3
582496.30025,6060548.999625,5590,0,Kruopų g.,11, ,17,17,Kruopų g. 11,436,Vilniaus Adomo Mickevičiaus licėjus,A. Mickevičiaus licėjus,+370 5 213 5501,190006961,ISPL GIMNAZIJOS,lenkų, ,lenkų, ,0,0,aptarnauja visą miesto teritoriją,419,50,3,2
583249.6255,6061365.751625,5591,0,Rusų g.,3, ,24,24,Rusų g. 3,174,"Viešoji įstaiga ""Vilniaus tarptautinė mokykla""",Vilniaus tarptautinė mokykla pagrindinė mokykla,+370 5 276 1564,300030249,PAGRINDINĖS MOKYKLOS,anglų lietuvių,lietuvių,anglų, ,0,0,"Mokykla pagrindinė, ikimokyklinė",420,73,5,0
582906.29975,6062559.900125,5592,0,A. Juozapavičiaus g.,12, ,17,17,A. Juozapavičiaus g. 12,348,Vilniaus „Santaros“ gimnazija,„Santaros“ gimnazija,+370 5 272 7841,304089960,ISPL GIMNAZIJOS,rusų, , ,rusų,0,0,aptarnauja visą miesto teritoriją,421,52,2,3
582854.6,6062200.900125,5593,0,Žygimantų g.,4, ,24,24,Žygimantų g. 4,396,Viešoji įstaiga Šiuolaikinės mokyklos centras,Šiuolaikinės mokyklos centras vidurinė mokykla,+370 5 212 2591,302850897,GIMNAZIJOS,lietuvių,lietuvių, , ,0,0, ,422,73,1,0
582230.05475,6060802.24125,5605,0,Naugarduko g.,7, ,2,2,Naugarduko g. 7,1017,Vilniaus Simono Daukanto progimnazija,S. Daukanto progimnazija,+370 5 233 1488,301806638,PROGIMNAZIJOS,lietuvių,lietuvių, , ,886,408, ,434,13,1,3
583146.857625,6060375.697875,5606,0,Aušros Vartų g.,23, ,2,2,Aušros Vartų g. 23,773,Vilniaus Antano Vienuolio progimnazija,A. Vienuolio progimnazija,+370 5 231 4084,300134205,PROGIMNAZIJOS,lietuvių,lietuvių, , ,738,384, ,435,13,1,3
582087.251625,6060987.240125,5608,314,Mindaugo g.,9, ,12,2,Mindaugo g. 9,430,Vilniaus karaliaus Mindaugo mokykla,Vilniaus Karaliaus Mindaugo mokykla,+370 5 265 2383,190005336,PAGRINDINĖS MOKYKLOS,lietuvių,lietuvių, , ,684,132, ,437,13,1,1
583233.68775,6060924.76475,5609,0,Augustijonų g.,8, ,13,13,Augustijonų g. 8,656,Vilniaus Vytauto Didžiojo gimnazija,Vytauto Didžiojo gimnazija,+370 5 279 1305,300134269,GIMNAZIJOS,lietuvių,lietuvių, , ,0,0, ,438,16,1,2
583862.395625,6060808.654375,5610,0,Subačiaus g.,41, ,24,24,Subačiaus g. 41,197,Viešoji įstaiga Tarptautinė Amerikos mokykla Vilniuje,Tarptautinė Amerikos mokykla Vilniuje vidurinė m.,+370 5 212 1031,111968960,VIDURINĖS MOKYKLOS,anglų,,anglų, ,0,0, ,439,73,5,0
582300.15775,6060587.23175,5612,0,Šaltinių g.,7, ,24,24,Šaltinių g. 7-1,30,"VšĮ mokykla ""Menachemo namai""",Menachemo namai mokykla,+370 5 216 6073,302851682,VIDURINĖS MOKYKLOS,lietuvių rusų,lietuvių,,rusų,0,0, ,441,0,5,0
583414.9185,6060559.306625,5614,0,M. Daukšos g.,7, ,24,24,M. Daukšos g. 7,152,"Viešoji įstaiga ""VIMS - International Meridian School""",International Meridian School pagrindinė m.,+370 527 28725,300556174,ISPL GIMNAZIJOS,anglų lietuvių,lietuvių,anglų,,0,0,Reg.: Kalvarijų g. 24A,443,73,5,0
583886.55725,6060511.97575,5622,0, ,0, ,24,24,Gervėčių g. 4,68,"UAB ""Karalienės Mortos mokykla""", ,+370 630 07474,303033784,PRADINĖS MOKYKLOS,anglų,lietuvių, , ,0,0,,451,73,5,0
584669.59325,6061747.705625,5625,0,Filaretų g.,43, ,22,2,Filaretų g. 43,383,Vilniaus Filaretų pradinė mokykla,Filaretų pradinė mokykla,+370 5 215 4963,190004234,PRADINĖS MOKYKLOS,lietuvių,lietuvių, , ,272,272, ,454,11,1,3
585117.447625,6062503.98925,5627,0,Kalvos g.,11, ,24,24,Kalvos g. 11,63,"Vaikų meninė studija ""Diemedis""", ,+370 652 10534,191832470,DARŽELIAI - MOKYKLOS,lietuvių,lietuvių, , ,0,0,"Darželis, mokykla, dienos studija",456,73,1,0
588074.63075,6060309.19925,5629,0,Švarioji g.,33, ,2,2,Švarioji g. 33,227,Vilniaus Pavilnio progimnazija,Pavilnio progimnazija,+370 5 238 2701,191715435,PROGIMNAZIJOS,lietuvių,lietuvių, , ,174,132, ,458,13,1,3
587364.19975,6060139.900375,5630,0,J. Kolaso g.,18, ,12,2,J. Kolaso g. 18,148,Vilniaus Pavilnio pagrindinė mokykla,Pavilnio pagrindinė mokykla,+370 5 267 4889,190008065,PAGRINDINĖS MOKYKLOS,rusų lenkų,,lenkų,rusų,218,0, ,459,43,4,3
576378.294,6054805.581,5633,0,Moksleivių g.,4, ,22,2,Moksleivių g. 4,409,"Vilniaus Trakų Vokės gimnazija, skyrius",Trakų Vokės gimnazija (skyrius),+370 5 264 1160,191317260,PRADINĖS MOKYKLOS,lietuvių,lietuvių, , ,0,486,skyrius,462,11,1,3
581387.100375,6053403.69975,5634,337,Vaikų g.,16, ,19,13,Vaikų g. 16,567,Vilniaus Salininkų gimnazija,Salininkų gimnazija,+370 5 235 8167,191317118,ISPL GIMNAZIJOS,lietuvių,lietuvių, , ,210,192, ,463,15,1,3
577925.2695,6056362.44025,5636,149,Vaduvos g.,14,A,21,2,Vaduvos g. 14A,391,Vilniaus Vaduvos darželis-mokykla,Vaduvos darželis - mokykla,+370 5 232 2877,290013960,DARŽELIAI - MOKYKLOS,lietuvių,lietuvių, , ,102,102, ,465,11,1,3
592055.300375,6062207.900125,5647,0,Karklėnų g.,13, ,19,13,Karklėnų g. 13,684,Vilniaus „Žaros“ gimnazija,„Žaros“ gimnazija,+370 5 267 4714,190007910,ISPL GIMNAZIJOS,rusų, , ,rusų,726,0, ,476,25,2,1
591495.9005,6062276.499875,5648,0,Genių g.,8, ,2,2,Genių g. 8,751,Vilniaus Barboros Radvilaitės progimnazija,B. Radvilaitės progimnazija,+370 5 267 1425,195474280,PROGIMNAZIJOS,lietuvių,lietuvių, , ,748,322, ,477,13,1,3
591592.2005,6063489.40025,5649,370,Rugiagėlių g.,15, ,19,13,Rugiagėlių g. 15,440,Vilniaus Juzefo Ignacijaus Kraševskio gimnazija,J. I. Kraševskio gimnazija,+370 5 267 1527,190007878,ISPL GIMNAZIJOS,lenkų, ,lenkų, ,536,0, ,478,35,3,3
591076.900125,6063676.333375,5650,280,Palydovo g.,29,A,12,2,Palydovo g. 29A,273,Vilniaus „Vilnios“ pagrindinė mokykla,„Vilnios“ pagrindinė mokykla,+370 5 267 2985,190978974,PAGRINDINĖS MOKYKLOS,lietuvių,lietuvių,, ,240,44, ,479,15,1,3
591504.600375,6062394.40025,5651,0,Darželio g.,2, ,13,13,Darželio g. 2,251,Vilniaus „Laisvės“ gimnazija,„Laisvės“ gimnazija,+370 5 267 1406,190007682,GIMNAZIJOS,lietuvių,lietuvių, , ,0,0, ,480,16,1,2
591828.309125,6062219.2835,5656,283,Genių g.,25, ,21,2,Genių g. 25,386,Vilniaus „Atžalyno“ mokykla-darželis,„Atžalyno“ pradinė mokykla,+370 5 267 1934,191665861,DARŽELIAI - MOKYKLOS,lietuvių,lietuvių, , ,258,258, ,485,11,1,3
591093.85275,6062063.34025,5657,171,Pergalės g.,22, ,21,2,Pergalės g. 22,448,Vilniaus Žaliakalnio darželis-mokykla,Žaliakalnio darželis - mokykla,+370 5 267 1626,191713231,DARŽELIAI - MOKYKLOS,lenkų, ,lenkų, ,188,0, ,486,31,3,3
591331.946625,6062328.779,5658,0,Darželio g.,7, ,24,24,Darželio g. 7,70,Marinos Mižigurskajos privati gimnazija,M. Mižigurskajos privati gimnazija,+370 5 267 0518,191713199,GIMNAZIJOS,lenkų lietuvių rusų,lietuvių,lenkų,rusų,0,0, ,487,73,5,0
571788.399875,6055131.99975,5664,335,Trampolio g.,5, ,19,13,Trampolio g. 5,67,Vilniaus Trakų Vokės gimnazija,Trakų Vokės gimnazija,+370 5 264 5190,191317260,ISPL GIMNAZIJOS,lietuvių,lietuvių, , ,486,120, ,493,15,1,3
570239.157625,6059962.89525,5669,375,Kovo 11-osios g.,21, ,19,13,"Kovo 11-osios g. 21, Grigiškės",468,Vilniaus savivaldybės Grigiškių gimnazija,Grigiškių gimnazija,+370 5 243 2555,190661333,ISPL GIMNAZIJOS,rusų lenkų,,lenkų,rusų,616,0, ,498,45,4,2
572914.2755,6055956.13375,5670,676,Liudvinavo g.,128, ,22,2,Liudvinavo g. 128,83,"Vilniaus Lazdynų mokykla, skyrius",Lazdynų mokykla (skyrius),+370 5 244 5158,190005489,PRADINĖS MOKYKLOS,lenkų,,lenkų, ,0,0,skyrius,499,31,3,3
570529.77675,6059656.963875,5671,0,Kovo 11-osios g.,33,A,22,2,"Kovo 11-osios g. 33A, Grigiškės",283,Vilniaus savivaldybės Grigiškių „Šviesos“ gimnazija (skyrius),"""Šviesos"" gimnazija (skyrius)",+370 5 243 2800,190661671,PRADINĖS MOKYKLOS,lietuvių,lietuvių, , ,320,320,skyrius,500,11,1,3
570835.235125,6059494.266,5672,0,Šviesos g.,16, ,19,13,"Šviesos g. 16, Grigiškės",595,Vilniaus savivaldybės Grigiškių „Šviesos“ gimnazija,„Šviesos“ gimnazija,+370 5 243 2610,190661671,ISPL GIMNAZIJOS,lietuvių,lietuvių, , ,1032,0, ,501,15,1,1
580863.92625,6061982.88275,5673,0,J.I. Kraševskio g.,5, ,17,17,J.I. Kraševskio g. 5,411,Vilniaus Šolomo Aleichemo ORT gimnazija,Vilniaus Šolomo Aliechemo gimnazija,+370 5 241 0235,190009352,ISPL GIMNAZIJOS,lietuvių ivrito idiš,lietuvių,ivrito,idiš,0,0,aptarnauja visą miesto teritoriją,502,70,5,1
583524.16725,6065507.85625,5711,0, ,0, ,24,24,Verkių g. 37,8,"UAB ""Pažinimo medis""", ,+370 683 06609,300556726,PAGRINDINĖS MOKYKLOS,lietuvių,lietuvių, , ,0,0,,540,73,1,0
576401.445125,6054835.479,5733,0, ,0, ,24,24,Moksleivių g. 4,19,"VšĮ ""Demokratinė mokykla""", ,+370 699 06594,303524897,DARŽELIAI - MOKYKLOS,lietuvių,lietuvių, , ,0,0,,562,73,1,0
580207.093875,6064492.234,5974,0,Dūkštų g.,30, ,13,13,Dūkštų g. 30,398,Vilniaus „Sostinės“ gimnazija,„Sostinės“ gimnazija,+370 5 240 0552,304075188,GIMNAZIJOS,rusų, , ,rusų,0,0, ,559,24,2,2
581614.271375,6062563.1545,6372,389,Lukiškių skg.,5, ,2,2,Lukiškių skg. 5,1115,Vilniaus kunigaikščio Gedimino progimnazija,Kunigaikščio Gedimino progimnazija,,191665719,PROGIMNAZIJOS,lietuvių,lietuvių, , ,0,0,,78,13,1,1
582170.088375,6063026.69025,8393,0, ,0, ,24,24,Konstitucijos pr. 11,9,VšĮ „Vilniaus humanistinė mokykla“, , ,303655900,DARŽELIAI - MOKYKLOS,lietuvių,lietuvių, , ,0,0,,571,73,1,0
581043.22825,6062369.30825,8400,0, ,0, ,24,24,Vytauto g. 25,6,"Mažoji bendrija ""Prasminga Jaunystė""", , ,304422799,DARŽELIAI - MOKYKLOS,lietuvių,lietuvių, , ,0,0,,572,73,1,0
584335.285,6060569.52925,8401,0, ,0, ,24,24,Markučių g. 9,7,VšĮ Upės pradinė mokykla, , ,304446323,DARŽELIAI - MOKYKLOS,lietuvių,lietuvių, , ,0,0,,579,73,1,0
580069.56775,6064059.246,8417,0, ,0, ,24,24,Verkių g.37,8,"UAB ""Pažinimo medis""", , ,300556726, , , , , ,,,,734,73,,0
583333.8535,6061437.674125,8418,0, ,0, ,24,24,Maironio g. 11,11,"UAB ""Taškius""", , ,304540865,PRADINĖS MOKYKLOS,lietuvių,lietuvių, , ,0,0,,574,73,1,0
584479.109,6064114.301125,8429,0,Šilo g.,13, ,24,24,Antakalnio g. 54,150,Vilniaus tarptautinis prancūzų licėjus,Prancūzų vidurinė mokykla,+370 650 99169,111967520,VIDURINĖS MOKYKLOS,prancūzų,,,prancūzų,0,0, ,142,73,5,0
583280.302375,6060937.941125,8829,0, ,0, ,23,23,Bokšto g. 19,0,VšĮ Menachemo gimnazija, , ,304711088,GIMNAZIJOS,lietuvių rusų,lietuvių, ,rusų,0,0,,575,73,5,0
583040.33325,6062440.127375,8830,0, ,13, ,24,24,A. Juozapavičiaus g. 13,0,VšĮ Šiaurės licėjus, , ,303960460,PROGIMNAZIJOS,lietuvių,lietuvių, , ,0,0,,576,73,1,0
579673.66775,6065918.376375,8831,0, ,0, ,24,24,Laisvės pr. 85A,0,VšĮ Guliverio akademija, , ,304493294,PAGRINDINĖS MOKYKLOS,anglų lietuvių,lietuvių,anglų, ,0,0,,577,73,5,0
580972.0955,6063024.5785,8832,0, ,0, ,24,24,Saltoniškių g. 29,0,"Mokykla ""Sokratus"", UAB",Sokratus progimnazija, ,304433411,PROGIMNAZIJOS, ,lietuvių,lietuvių, ,0,0,,578,0,1,0
583436.599875,6064530.958625,8833,0, ,0, ,24,24,Žygio g. 97,0,"VšĮ ""Mokykla vaikams""",Magis progimnazija, ,302662258,PROGIMNAZIJOS,lietuvių,lietuvių, , ,0,0,,749,0,1,0
583446.918625,6064576.2025,8834,0, ,0, ,24,24,Žygio g. 97,0,"VšĮ ""Mokykla vaikams""",Žiniukas pradinė mokykla, ,302658936,PRADINĖS MOKYKLOS,lietuvių,lietuvių, , ,0,0,,750,73,1,0
587622.4485,6058427.18275,8835,0, ,0, ,24,24,Lukšinės g. 29,0,"UAB ""Karalienės Mortos mokykla""", , ,303033784,PAGRINDINĖS MOKYKLOS,lietuvių,lietuvių, , ,0,0,,580,73,1,0
581242.6265,6053159.205375,9636,337,Vaikų g.,16, ,22,2,Pupinės g. 11,0,Vilniaus Salininkų gimnazija (skyrius),Salininkų gimnazija (skyrius),+370 5 235 8167,191317118,PRADINĖS MOKYKLOS,lietuvių,lietuvių, , ,210,192,skyrius,564,11,1,3
579241.077125,6067219.095625,11236,0,Gabijos g.,2,C,2,2,Gabijos g. 2C,1043,Vilniaus Gabijos progimnazija,Gabijos progimnazija,,305607594,PROGIMNAZIJOS,lietuvių,lietuvių, , ,0,0, ,700,13,1,0
582738.408875,6061707.22575,11239,0,,0, ,24,24,Odminių g. 11-17,0,Pažinimo licėjus,Pažinimo licėjus,,304813762,PAGRINDINĖS MOKYKLOS,lietuvių,lietuvių, , ,0,0,,703,73,1,0
587083.393875,6072645.10325,12436,0,Balsių g.,20, ,22,2,Balsių g. 20,0,"Vilniaus Balsių progimnazija, skyrius",Balsių progimnazija (skyrius), ,302589995,PRADINĖS MOKYKLOS,lietuvių,lietuvių, , ,0,0,skyrius,715,11,1,1
581607.92575,6061846.578125,12836,0,Aludarių g.,3, ,24,24,Aludarių g. 3,0,"UAB ""Erudito"" licėjus","""Erudito"" licėjus",+370 667 19972,304228673,ISPL GIMNAZIJOS,lietuvių,lietuvių, , ,0,0,,716,73,1,2
576083.197875,6063725.935125,13236,0,Įsruties g.,3, ,2,2,Įsruties g. 3,0,Vilniaus Vydūno progimnazija,Vydūno progimnazija, ,306009596,PROGIMNAZIJOS,lietuvių,lietuvių, , ,0,0,,772,13,1,1
583243.334125,6067653.59025,13637,0, ,0, ,24,24,Vaidilutės g. 71,0,UAB Mokykla „Eureka“, , ,304837382,PRADINĖS MOKYKLOS,lietuvių,lietuvių, , ,0,0,,774,73,1,0
582285.459375,6059114.397625,13640,0,Telšių g.,2, ,13,13,Telšių g. 2,300,Vilniaus „Juventos“ gimnazija,„Juventos“ gimnazija,+370 5 269 5589,190008599,GIMNAZIJOS,lietuvių,lietuvių, ,,0,0, ,800,16,1,3
581449.557875,6067661.000375,14037,0, ,0, ,24,24,Baltupio g. 14,0,"VšĮ ""Varnų sala""", , ,305225071,PAGRINDINĖS MOKYKLOS,lietuvių,lietuvių, , ,0,0,,778,73,1,0
581157.516125,6067141.2,14038,0, ,0, ,24,24,Didlaukio g. 69B,0,"VšĮ ""Varnų sala""", , ,305225071,PRADINĖS MOKYKLOS,lietuvių,lietuvių, , ,0,0,,777,73,1,0
